country,year,population_total,gdp_per_capita
Arab World,2018,419790591,6601.825189
Caribbean small states,2018,7358958,10187.21231
Central Europe and the Baltics,2018,102537026,16037.4819
Early-demographic dividend,2018,3248239444,3585.322188
East Asia & Pacific,2018,2328138066,11318.63549
East Asia & Pacific (excluding high income),2018,2081639097,7971.673386
East Asia & Pacific (IDA & IBRD countries),2018,2056064424,8055.429563
Euro area,2018,341843156,40038.50678
Europe & Central Asia,2018,917922618.5,25215.27196
Europe & Central Asia (excluding high income),2018,397435105.5,8031.864209
Europe & Central Asia (IDA & IBRD countries),2018,458970243.5,8894.670685
European Union,2018,446777673,35733.716
Fragile and conflict affected situations,2018,780467640,2175.936541
Heavily indebted poor countries (HIPC),2018,780234406,972.9429143
High income,2018,1230515710,44417.86792
IBRD only,2018,4777257265,6448.829193
IDA & IBRD total,2018,6410738780,5152.65366
IDA blend,2018,549115214,1756.039606
IDA only,2018,1084366301,1170.105606
IDA total,2018,1633481515,1365.854651
Late-demographic dividend,2018,2287846155,9838.443252
Latin America & Caribbean,2018,640467174,9092.672378
Latin America & Caribbean (excluding high income),2018,608125444,8593.741441
Latin America & the Caribbean (IDA & IBRD countries),2018,624681220,8934.498183
Least developed countries: UN classification,2018,1009662578,1063.167911
Low & middle income,2018,6361429561,5001.699779
Low income,2018,651327587,795.9571164
Lower middle income,2018,2872397765,2091.390578
Middle East & North Africa,2018,448912962,7943.946907
Middle East & North Africa (excluding high income),2018,382896715,3970.848245
Middle East & North Africa (IDA & IBRD countries),2018,378327628,3975.048437
Middle income,2018,5710101974,5478.717948
North America,2018,363809186,61305.89217
OECD members,2018,1352645878,39331.53423
Other small states,2018,30760211,14382.79798
Pacific island small states,2018,2457367,4341.143524
Post-demographic dividend,2018,1109441474,45321.99861
Pre-demographic dividend,2018,919485393,1455.982289
Small states,2018,40576536,13013.75137
South Asia,2018,1814388744,1898.971004
South Asia (IDA & IBRD),2018,1814388744,1898.971004
Sub-Saharan Africa,2018,1078306520,1596.166175
Sub-Saharan Africa (excluding high income),2018,1076944455,1583.532021
Sub-Saharan Africa (IDA & IBRD countries),2018,1078306520,1596.166175
Upper middle income,2018,2837704209,8906.243876
World,2018,7591945271,11385.67523
Afghanistan,2018,37172386,493.7504181
Albania,2018,2866376,5284.380184
Algeria,2018,42228429,4153.733978
American Samoa,2018,55465,11466.69071
Andorra,2018,77006,41793.05526
Angola,2018,30809762,3289.646664
Antigua and Barbuda,2018,96286,16672.74424
Argentina,2018,44494502,11633.49801
Armenia,2018,2951776,4220.490277
Australia,2018,24982688,57354.96405
Austria,2018,8840521,51478.28526
Azerbaijan,2018,9939771,4739.84171
"Bahamas, The",2018,385640,33767.50337
Bahrain,2018,1569439,23991.05668
