player_id,player,country_short
1,T Armitage (ENG),ENG
2,C Bannerman (AUS),AUS
3,JM Blackham (AUS),AUS
4,HRJ Charlwood (ENG),ENG
5,BB Cooper (AUS),AUS
6,T Emmett (ENG),ENG
7,TW Garrett (AUS),AUS
8,A Greenwood (ENG),ENG
9,DW Gregory (AUS),AUS
10,EJ Gregory (AUS),AUS
11,A Hill (ENG),ENG
12,JR Hodges (AUS),AUS
13,TP Horan (AUS),AUS
14,H Jupp (ENG),ENG
15,TK Kendall (AUS),AUS
16,James Lillywhite jnr (ENG),ENG
17,WE Midwinter (AUS/ENG),AUS
18,J Selby (ENG),ENG
19,A Shaw (ENG),ENG
20,J Southerton (ENG),ENG
21,NFD Thomson (AUS),AUS
22,G Ulyett (ENG),ENG
23,TJD Kelly (AUS),AUS
24,WL Murdoch (AUS/ENG),AUS
25,FR Spofforth (AUS),AUS
26,CA Absolom (ENG),ENG
27,FE Allan (AUS),AUS
28,AC Bannerman (AUS),AUS
29,HF Boyle (AUS),AUS
30,Lord Harris (ENG),ENG
31,L Hone (ENG),ENG
32,AN Hornby (ENG),ENG
33,AP Lucas (ENG),ENG
34,FA MacKinnon (ENG),ENG
35,VPFA Royle (ENG),ENG
36,SS Schultz (ENG),ENG
37,AJ Webbe (ENG),ENG
38,G Alexander (AUS),AUS
39,W Barnes (ENG),ENG
40,GJ Bonnor (AUS),AUS
41,EM Grace (ENG),ENG
42,GF Grace (ENG),ENG
43,WG Grace (ENG),ENG
44,TU Groube (AUS),AUS
45,Hon.A Lyttelton (ENG),ENG
46,PS McDonnell (AUS),AUS
47,F Morley (ENG),ENG
48,WH Moule (AUS),AUS
49,GE Palmer (AUS),AUS
50,F Penn (ENG),ENG
51,J Slight (AUS),AUS
52,AG Steel (ENG),ENG
53,RG Barlow (ENG),ENG
54,W Bates (ENG),ENG
55,WH Cooper (AUS),AUS
56,E Evans (AUS),AUS
57,G Giffen (AUS),AUS
58,HH Massie (AUS),AUS
59,E Peate (ENG),ENG
60,R Pilling (ENG),ENG
61,WH Scotton (ENG),ENG
62,A Shrewsbury snr (ENG),ENG
63,G Coulthard (AUS),AUS
64,SP Jones (AUS),AUS
65,JM Read (ENG),ENG
66,CT Studd (ENG),ENG
67,Hon.IFW Bligh (ENG),ENG
68,CFH Leslie (ENG),SL
69,WW Read (ENG),ENG
70,GB Studd (ENG),ENG
71,EFS Tylecote (ENG),ENG
72,GF Vernon (ENG),ENG
73,Sir TC O'Brien (ENG),ENG
74,HJH Scott (AUS),AUS
75,S Christopherson (ENG),ENG
76,W Attewell (ENG),ENG
77,J Briggs (ENG),ENG
78,W Flowers (ENG),ENG
79,J Hunter (ENG),ENG
80,R Peel (ENG),ENG
81,W Bruce (AUS),AUS
82,AH Jarvis (AUS),AUS
83,AP Marr (AUS),AUS
84,S Morris (AUS),AUS
85,HA Musgrove (AUS),AUS
86,RJ Pope (AUS),AUS
87,WR Robertson (AUS),AUS
88,JW Trumble (AUS),AUS
89,J Worrall (AUS),AUS
90,PG McShane (AUS),AUS
91,FH Walters (AUS),AUS
92,GA Lohmann (ENG),ENG
93,J McIlwraith (AUS),AUS
94,JJ Ferris (AUS/ENG),AUS
95,W Gunn (ENG),ENG
96,H Moses (AUS),AUS
97,M Sherwin (ENG),ENG
98,CTB Turner (AUS),AUS
99,RC Allen (AUS),AUS
100,FJ Burton (AUS),AUS
101,JT Cottam (AUS),AUS
102,WF Giffen (AUS),AUS
103,JJ Lyons (AUS),AUS
104,R Wood (ENG),ENG
105,W Newham (ENG),ENG
106,AE Stoddart (ENG),ENG
107,R Abel (ENG),ENG
108,JD Edwards (AUS),AUS
109,GHS Trott (AUS),AUS
110,SMJ Woods (AUS/ENG),AUS
111,J Shuter (ENG),ENG
112,FH Sugg (ENG),ENG
113,H Wood (ENG),ENG
114,MP Bowden (ENG),ENG
115,Hon.CJ Coventry (ENG),ENG
116,OR Dunell (SA),SA
117,CE Finlason (SA),SA
118,AJ Fothergill (ENG),ENG
119,BAF Grieve (ENG),ENG
120,F Hearne (ENG/SA),SA
121,P Hutchinson (SA),SA
122,GA Kempis (SA),SA
123,WH Milton (SA),SA
124,AE Ochse (SA),SA
125,A Rose-Innes (SA),SA
126,CA Smith (ENG),ENG
127,FW Smith (SA),SA
128,RB Stewart (SA),SA
129,AB Tancred (SA),SA
130,CH Vintcent (SA),SA
131,WH Ashley (SA),SA
132,JEP McMaster (ENG),ENG
133,WHM Richards (SA),SA
134,NHCD Theunissen (SA),SA
135,JE Barrett (AUS),AUS
136,EJK Burn (AUS),AUS
137,PC Charlton (AUS),AUS
138,SE Gregory (AUS),AUS
139,G MacGregor (ENG),ENG
140,H Trumble (AUS),AUS
141,J Cranston (ENG),ENG
142,F Martin (ENG),ENG
143,JW Sharpe (ENG),ENG
144,G Bean (ENG),ENG
145,ST Callaway (AUS),AUS
146,H Donnan (AUS),AUS
147,RW McLeod (AUS),AUS
148,VA Barton (ENG),ENG
149,W Chatterton (ENG),ENG
150,G Cripps (SA),SA
151,JF du Toit (SA),SA
152,CG Fichardt (SA),SA
153,EA Halliwell (SA),SA
154,A Hearne (ENG),ENG
155,GG Hearne (ENG),ENG
156,JT Hearne (ENG),ENG
157,CH Mills (SA),SA
158,DC Parkin (SA),SA
159,AD Pougher (ENG),ENG
160,TW Routledge (SA),SA
161,CS Wimble (SA),SA
162,H Philipson (ENG),ENG
163,H Graham (AUS),AUS
164,Hon.FS Jackson (ENG),ENG
165,WH Lockwood (ENG),ENG
166,AW Mold (ENG),ENG
167,E Wainwright (ENG),ENG
168,W Brockwell (ENG),ENG
169,T Richardson (ENG),ENG
170,JT Brown (ENG),ENG
171,J Darling (AUS),AUS
172,FGJ Ford (ENG),ENG
173,LH Gay (ENG),ENG
174,FA Iredale (AUS),AUS
175,E Jones (AUS),AUS
176,AC MacLaren (ENG),ENG
177,CE McLeod (AUS),AUS
178,JC Reedman (AUS),AUS
179,A Coningham (AUS),AUS
180,J Harry (AUS),AUS
181,AE Trott (AUS/ENG),AUS
182,TR McKibbin (AUS),AUS
183,HR Bromley-Davenport (ENG),ENG
184,HR Butt (ENG),ENG
185,FJ Cook (SA),SA
186,CB Fry (ENG),ENG
187,RA Gleeson (SA),SA
188,Lord Hawke (ENG),ENG
189,TW Hayward (ENG),ENG
190,AJL Hill (ENG),ENG
191,CFW Hime (SA),SA
192,J Middleton (SA),SA
193,AM Miller (ENG),ENG
194,RM Poore (SA),SA
195,JH Sinclair (SA),SA
196,JT Willoughby (SA),SA
197,CW Wright (ENG),ENG
198,WHB Frank (SA),SA
199,C Heseltine (ENG),ENG
200,CL Johnson (SA),SA
201,CB Llewellyn (SA),SA
202,GA Rowe (SA),SA
203,GH Shepstone (SA),SA
204,GK Glover (SA),SA
205,AR Richards (SA),SA
206,AW Seccull (SA),SA
207,EJ Tyler (ENG),ENG
208,CJ Eady (AUS),AUS
209,C Hill (AUS),AUS
210,JJ Kelly (AUS),AUS
211,AFA Lilley (ENG),ENG
212,KS Ranjitsinhji (ENG),ENG
213,EG Wynyard (ENG),ENG
214,NF Druce (ENG),ENG
215,GH Hirst (ENG),ENG
216,JR Mason (ENG),ENG
217,W Storer (ENG),ENG
218,MA Noble (AUS),AUS
219,WP Howell (AUS),AUS
220,M Bisset (SA),SA
221,JH Board (ENG),ENG
222,WR Cuttell (ENG),ENG
223,RR Dower (SA),SA
224,HH Francis (SA),SA
225,R Graham (SA),SA
226,S Haigh (ENG),ENG
227,FW Milligan (ENG),ENG
228,F Mitchell (ENG/SA),SA
229,WRT Solomon (SA),SA
230,VM Tancred (SA),SA
231,JT Tyldesley (ENG),SL
232,PF Warner (ENG),ENG
233,CEM Wilson (ENG),ENG
234,AG Archer (ENG),ENG
235,F Kuys (SA),SA
236,AW Powell (SA),SA
237,CFH Prince (SA),SA
238,WA Shalders (SA),SA
239,FJ Laver (AUS),AUS
240,W Rhodes (ENG),ENG
241,VT Trumper (AUS),AUS
242,GL Jessop (ENG),ENG
243,W Mead (ENG),ENG
244,CL Townsend (ENG),ENG
245,WG Quaife (ENG),ENG
246,HI Young (ENG),ENG
247,WM Bradley (ENG),ENG
248,AO Jones (ENG),ENG
249,SF Barnes (ENG),ENG
250,C Blythe (ENG),ENG
251,LC Braund (ENG),ENG
252,JR Gunn (ENG),ENG
253,WW Armstrong (AUS),AUS
254,RA Duff (AUS),AUS
255,AJY Hopkins (AUS),AUS
256,CP McGahey (ENG),ENG
257,JV Saunders (AUS),AUS
258,JPF Travers (AUS),AUS
259,LCH Palairet (ENG),IRE
260,FW Tate (ENG),ENG
261,CMH Hathorn (SA),SA
262,AW Nourse (SA),SA
263,CJE Smith (SA),SA
264,HM Taberer (SA),SA
265,LJ Tancred (SA),SA
266,G Thornton (SA),SA
267,JH Anderson (SA),SA
268,JJ Kotze (SA),SA
269,PS Twentyman-Jones (SA),SA
270,EG Arnold (ENG),ENG
271,BJT Bosanquet (ENG),SA
272,RE Foster (ENG),ENG
273,AE Relf (ENG),ENG
274,A Fielder (ENG),ENG
275,AE Knight (ENG),ENG
276,A Cotter (AUS),AUS
277,PA McAlister (AUS),AUS
278,DRA Gehrs (AUS),AUS
279,D Denton (ENG),ENG
280,A Warren (ENG),ENG
281,W Brearley (ENG),ENG
282,RH Spooner (ENG),ENG
283,JN Crawford (ENG),ENG
284,FL Fane (ENG),ENG
285,GA Faulkner (SA),SA
286,EG Hayes (ENG),ENG
287,WS Lees (ENG),ENG
288,RO Schwarz (SA),SA
289,PW Sherwell (SA),SA
290,SJ Snooke (SA),SA
291,AEE Vogler (SA),SA
292,GC White (SA),SA
293,LJ Moon (ENG),ENG
294,JC Hartley (ENG),ENG
295,NA Knox (ENG),ENG
296,SD Snooke (SA),SA
297,H Carter (AUS),AUS
298,G Gunn (ENG),ENG
299,J Hardstaff snr (ENG),ENG
300,GR Hazlitt (AUS),AUS
301,KL Hutchings (ENG),ENG
302,CG Macartney (AUS),AUS
303,VS Ransford (AUS),AUS
304,RA Young (ENG),ENG
305,JB Hobbs (ENG),ENG
306,J Humphries (ENG),ENG
307,MJ Hartigan (AUS),AUS
308,JDA O'Connor (AUS),AUS
309,W Bardsley (AUS),AUS
310,GJ Thompson (ENG),ENG
311,WJ Whitty (AUS),AUS
312,JH King (ENG),ENG
313,J Sharp (ENG),ENG
314,DW Carr (ENG),ENG
315,FE Woolley (ENG),ENG
316,MC Bird (ENG),ENG
317,CP Buckenham (ENG),ENG
318,T Campbell (SA),SA
319,JMM Commaille (SA),SA
320,HDG Leveson Gower (ENG),ENG
321,GHT Simpson-Hayward (ENG),ENG
322,LA Stricker (SA),SA
323,H Strudwick (ENG),ENG
324,JW Zulch (SA),SA
325,CE Floquet (SA),SA
326,SJ Pegler (SA),SA
327,NO Norton (SA),SA
328,SV Samuelson (SA),SA
329,NC Tufnell (ENG),ENG
330,C Kelleway (AUS),AUS
331,COC Pearse (SA),SA
332,HV Hordern (AUS),AUS
333,JWHT Douglas (ENG),ENG
334,FR Foster (ENG),ENG
335,JW Hearne (ENG),ENG
336,SP Kinneir (ENG),ENG
337,CP Mead (ENG),ENG
338,RB Minnett (AUS),AUS
339,JW Hitch (ENG),ENG
340,EJ Smith (ENG),ENG
341,TJ Matthews (AUS),AUS
342,J Vine (ENG),ENG
343,JW McLaren (AUS),AUS
344,R Beaumont (SA),SA
345,W Carkeek (AUS),AUS
346,SH Emery (AUS),AUS
347,GPD Hartigan (SA),SA
348,CB Jennings (AUS),AUS
349,HW Taylor (SA),SA
350,TA Ward (SA),SA
351,CP Carter (SA),SA
352,H Dean (ENG),ENG
353,DBM Smith (AUS),AUS
354,ER Mayne (AUS),AUS
355,HV Baumgartner (SA),SA
356,JM Blanckenberg (SA),SA
357,MW Booth (ENG),ENG
358,AHC Cooper (SA),SA
359,JL Cox (SA),SA
360,PAM Hands (SA),SA
361,PT Lewis (SA),SA
362,GL Tapscott (SA),SA
363,Lord Tennyson (ENG),ENG
364,C Newberry (SA),SA
365,CD Dixon (SA),SA
366,LR Tuckett (SA),SA
367,HW Chapman (SA),SA
368,FL le Roux (SA),SA
369,D Taylor (SA),SA
370,RHM Hands (SA),SA
371,EB Lundie (SA),SA
372,HL Collins (AUS),AUS
373,JM Gregory (AUS),AUS
374,EH Hendren (ENG),ENG
375,AA Mailey (AUS),AUS
376,WAS Oldfield (AUS),AUS
377,CH Parkin (ENG),ENG
378,CE Pellew (AUS),AUS
379,CAG Russell (ENG),ENG
380,J Ryder (AUS),AUS
381,JM Taylor (AUS),AUS
382,A Waddington (ENG),ENG
383,H Howell (ENG),ENG
384,JWH Makepeace (ENG),ENG
385,RL Park (AUS),AUS
386,PGH Fender (ENG),ENG
387,EA McDonald (AUS),AUS
388,A Dolphin (ENG),ENG
389,ER Wilson (ENG),ENG
390,TJE Andrews (AUS),AUS
391,HSTL Hendry (AUS),AUS
392,P Holmes (ENG),ENG
393,VWC Jupp (ENG),ENG
394,DJ Knight (ENG),ENG
395,TL Richmond (ENG),ENG
