player_id,Player,Mat,Runs,HS,Bat Av,100,Wkts,Bowl Av,5,Ct,St,Ave Diff,career_start,career_end,career_length
1,T Armitage (ENG),2,33,21,11,0,0,0,0,0,0,0,1877,1877,1
2,C Bannerman (AUS),3,239,165,59.75,1,0,0,0,0,0,0,1877,1879,3
3,JM Blackham (AUS),35,800,74,15.68,0,0,0,0,37,24,0,1877,1894,18
4,HRJ Charlwood (ENG),2,63,36,15.75,0,0,0,0,0,0,0,1877,1877,1
5,BB Cooper (AUS),1,18,15,9,0,0,0,0,2,0,0,1877,1877,1
6,T Emmett (ENG),7,160,48,13.33,0,9,31.55,1,9,0,-18.22,1877,1882,6
7,TW Garrett (AUS),19,339,51,12.55,0,36,26.94,2,7,0,-14.38,1877,1888,12
8,A Greenwood (ENG),2,77,49,19.25,0,0,0,0,2,0,0,1877,1877,1
9,DW Gregory (AUS),3,60,43,20,0,0,0,0,0,0,0,1877,1879,3
10,EJ Gregory (AUS),1,11,11,5.5,0,0,0,0,1,0,0,1877,1877,1
11,A Hill (ENG),2,101,49,50.5,0,7,18.57,0,1,0,31.92,1877,1877,1
12,JR Hodges (AUS),2,10,8,3.33,0,6,14,0,0,0,-10.66,1877,1877,1
13,TP Horan (AUS),15,471,124,18.84,1,11,13,1,6,0,5.84,1877,1885,9
14,H Jupp (ENG),2,68,63,17,0,0,0,0,2,0,0,1877,1877,1
15,TK Kendall (AUS),2,39,17,13,0,14,15.35,1,2,0,-2.35,1877,1877,1
16,James Lillywhite jnr (ENG),2,16,10,8,0,8,15.75,0,1,0,-7.74,1877,1877,1
17,WE Midwinter (AUS/ENG),12,269,37,13.45,0,24,25.2,1,10,0,-11.75,1877,1887,11
18,J Selby (ENG),6,256,70,23.27,0,0,0,0,1,0,0,1877,1882,6
19,A Shaw (ENG),7,111,40,10.09,0,12,23.75,1,4,0,-13.65,1877,1882,6
20,J Southerton (ENG),2,7,6,3.5,0,7,15.28,0,2,0,-11.78,1877,1877,1
21,NFD Thomson (AUS),2,67,41,16.75,0,1,31,0,3,0,-14.24,1877,1877,1
22,G Ulyett (ENG),25,949,149,24.33,1,50,20.4,1,19,0,3.93,1877,1890,14
23,TJD Kelly (AUS),2,64,35,21.33,0,0,0,0,1,0,0,1877,1879,3
24,WL Murdoch (AUS/ENG),19,908,211,31.31,2,0,0,0,14,1,0,1877,1892,16
25,FR Spofforth (AUS),18,217,50,9.43,0,94,18.41,7,11,0,-8.98,1877,1887,11
26,CA Absolom (ENG),1,58,52,29,0,0,0,0,0,0,0,1879,1879,1
27,FE Allan (AUS),1,5,5,5,0,4,20,0,0,0,-14.99,1879,1879,1
28,AC Bannerman (AUS),28,1108,94,23.08,0,4,40.75,0,21,0,-17.66,1879,1893,15
29,HF Boyle (AUS),12,153,36,12.75,0,32,20.03,1,10,0,-7.28,1879,1884,6
30,Lord Harris (ENG),4,145,52,29,0,0,0,0,2,0,0,1879,1884,6
31,L Hone (ENG),1,13,7,6.5,0,0,0,0,2,0,0,1879,1879,1
32,AN Hornby (ENG),3,21,9,3.5,0,1,0,0,0,0,3.5,1879,1884,6
33,AP Lucas (ENG),5,157,55,19.62,0,0,0,0,1,0,0,1879,1884,6
34,FA MacKinnon (ENG),1,5,5,2.5,0,0,0,0,0,0,0,1879,1879,1
35,VPFA Royle (ENG),1,21,18,10.5,0,0,0,0,2,0,0,1879,1879,1
36,SS Schultz (ENG),1,20,20,20,0,1,26,0,0,0,-5.99,1879,1879,1
37,AJ Webbe (ENG),1,4,4,2,0,0,0,0,2,0,0,1879,1879,1
38,G Alexander (AUS),2,52,33,13,0,2,46.5,0,2,0,-33.49,1880,1884,5
39,W Barnes (ENG),21,725,134,23.38,1,51,15.54,3,19,0,7.83,1880,1890,11
40,GJ Bonnor (AUS),17,512,128,17.06,1,2,42,0,16,0,-24.93,1880,1888,9
41,EM Grace (ENG),1,36,36,18,0,0,0,0,1,0,0,1880,1880,1
42,GF Grace (ENG),1,0,0,0,0,0,0,0,2,0,0,1880,1880,1
43,WG Grace (ENG),22,1098,170,32.29,2,9,26.22,0,39,0,6.07,1880,1899,20
44,TU Groube (AUS),1,11,11,5.5,0,0,0,0,0,0,0,1880,1880,1
45,Hon.A Lyttelton (ENG),4,94,31,15.66,0,4,4.75,0,2,0,10.91,1880,1884,5
46,PS McDonnell (AUS),19,955,147,28.93,3,0,0,0,6,0,0,1880,1888,9
47,F Morley (ENG),4,6,2,1.5,0,16,18.5,1,4,0,-16.99,1880,1883,4
48,WH Moule (AUS),1,40,34,20,0,3,7.66,0,1,0,12.33,1880,1880,1
49,GE Palmer (AUS),17,296,48,14.09,0,78,21.51,6,13,0,-7.41,1880,1886,7
50,F Penn (ENG),1,50,27,50,0,0,0,0,0,0,0,1880,1880,1
51,J Slight (AUS),1,11,11,5.5,0,0,0,0,0,0,0,1880,1880,1
52,AG Steel (ENG),13,600,148,35.29,2,29,20.86,0,5,0,14.43,1880,1888,9
53,RG Barlow (ENG),17,591,62,22.73,0,34,22.55,3,14,0,0.17,1881,1887,7
54,W Bates (ENG),15,656,64,27.33,0,50,16.42,4,9,0,10.91,1881,1887,7
55,WH Cooper (AUS),2,13,7,6.5,0,9,25.11,1,1,0,-18.61,1881,1884,4
56,E Evans (AUS),6,82,33,10.25,0,7,47.42,0,5,0,-37.17,1881,1886,6
57,G Giffen (AUS),31,1238,161,23.35,1,103,27.09,7,24,0,-3.73,1881,1896,16
58,HH Massie (AUS),9,249,55,15.56,0,0,0,0,5,0,0,1881,1885,5
59,E Peate (ENG),9,70,13,11.66,0,31,22.03,2,2,0,-10.36,1881,1886,6
60,R Pilling (ENG),8,91,23,7.58,0,0,0,0,10,4,0,1881,1888,8
61,WH Scotton (ENG),15,510,90,22.17,0,0,0,0,4,0,0,1881,1887,7
62,A Shrewsbury snr (ENG),23,1277,164,35.47,3,0,0,0,29,0,0,1881,1893,13
63,G Coulthard (AUS),1,6,6,0,0,0,0,0,0,0,0,1882,1882,1
64,SP Jones (AUS),12,428,87,21.4,0,6,18.66,0,12,0,2.73,1882,1888,7
65,JM Read (ENG),17,461,57,17.07,0,0,0,0,8,0,0,1882,1893,12
66,CT Studd (ENG),5,160,48,20,0,3,32.66,0,5,0,-12.66,1882,1883,2
67,Hon.IFW Bligh (ENG),4,62,19,10.33,0,0,0,0,7,0,0,1882,1883,2
68,CFH Leslie (ENG),4,106,54,15.14,0,4,11,0,1,0,4.14,1882,1883,2
69,WW Read (ENG),18,720,117,27.69,1,0,0,0,16,0,0,1882,1893,12
70,GB Studd (ENG),4,31,9,4.42,0,0,0,0,8,0,0,1882,1883,2
71,EFS Tylecote (ENG),6,152,66,19,0,0,0,0,5,5,0,1882,1886,5
72,GF Vernon (ENG),1,14,11,14,0,0,0,0,0,0,0,1882,1883,2
73,Sir TC O'Brien (ENG),5,59,20,7.37,0,0,0,0,4,0,0,1884,1896,13
74,HJH Scott (AUS),8,359,102,27.61,1,0,0,0,8,0,0,1884,1886,3
75,S Christopherson (ENG),1,17,17,17,0,1,69,0,0,0,-51.99,1884,1884,1
76,W Attewell (ENG),10,150,43,16.66,0,28,22.35,0,9,0,-5.69,1884,1892,9
77,J Briggs (ENG),33,815,121,18.11,1,118,17.75,9,12,0,0.35,1884,1899,16
78,W Flowers (ENG),8,254,56,18.14,0,14,21.14,1,2,0,-2.99,1884,1893,10
79,J Hunter (ENG),5,93,39,18.6,0,0,0,0,8,3,0,1884,1885,2
80,R Peel (ENG),20,427,83,14.72,0,101,16.98,5,17,0,-2.25,1884,1896,13
81,W Bruce (AUS),14,702,80,29.25,0,12,36.66,0,12,0,-7.41,1885,1895,11
82,AH Jarvis (AUS),11,303,82,16.83,0,0,0,0,9,9,0,1885,1895,11
83,AP Marr (AUS),1,5,5,2.5,0,0,0,0,0,0,0,1885,1885,1
84,S Morris (AUS),1,14,10,14,0,2,36.5,0,0,0,-22.49,1885,1885,1
85,HA Musgrove (AUS),1,13,9,6.5,0,0,0,0,0,0,0,1885,1885,1
86,RJ Pope (AUS),1,3,3,1.5,0,0,0,0,0,0,0,1885,1885,1
87,WR Robertson (AUS),1,2,2,1,0,0,0,0,0,0,0,1885,1885,1
88,JW Trumble (AUS),7,243,59,20.25,0,10,22.2,0,3,0,-1.94,1885,1886,2
89,J Worrall (AUS),11,478,76,25.15,0,1,127,0,13,0,-101.84,1885,1899,15
90,PG McShane (AUS),3,26,12,5.2,0,1,48,0,2,0,-42.79,1885,1888,4
91,FH Walters (AUS),1,12,7,6,0,0,0,0,2,0,0,1885,1885,1
92,GA Lohmann (ENG),18,213,62,8.87,0,112,10.75,9,28,0,-1.88,1886,1896,11
93,J McIlwraith (AUS),1,9,7,4.5,0,0,0,0,1,0,0,1886,1886,1
94,JJ Ferris (AUS/ENG),9,114,20,8.76,0,61,12.7,6,4,0,-3.93,1887,1892,6
95,W Gunn (ENG),11,392,102,21.77,1,0,0,0,5,0,0,1887,1899,13
96,H Moses (AUS),6,198,33,19.8,0,0,0,0,1,0,0,1887,1895,9
97,M Sherwin (ENG),3,30,21,15,0,0,0,0,5,2,0,1887,1888,2
98,CTB Turner (AUS),17,323,29,11.53,0,101,16.53,11,8,0,-4.99,1887,1895,9
99,RC Allen (AUS),1,44,30,22,0,0,0,0,2,0,0,1887,1887,1
100,FJ Burton (AUS),2,4,2,2,0,0,0,0,1,1,0,1887,1888,2
101,JT Cottam (AUS),1,4,3,2,0,0,0,0,1,0,0,1887,1887,1
102,WF Giffen (AUS),3,11,3,1.83,0,0,0,0,1,0,0,1887,1892,6
103,JJ Lyons (AUS),14,731,134,27.07,1,6,24.83,1,3,0,2.24,1887,1897,11
104,R Wood (ENG),1,6,6,3,0,0,0,0,0,0,0,1887,1887,1
105,W Newham (ENG),1,26,17,13,0,0,0,0,0,0,0,1888,1888,1
106,AE Stoddart (ENG),16,996,173,35.57,2,2,47,0,6,0,-11.42,1888,1898,11
107,R Abel (ENG),13,744,132,37.2,2,0,0,0,13,0,0,1888,1902,15
108,JD Edwards (AUS),3,48,26,9.6,0,0,0,0,1,0,0,1888,1888,1
109,GHS Trott (AUS),24,921,143,21.92,1,29,35.13,0,21,0,-13.2,1888,1898,11
110,SMJ Woods (AUS/ENG),6,154,53,15.4,0,10,25,0,5,0,-9.59,1888,1896,9
111,J Shuter (ENG),1,28,28,28,0,0,0,0,0,0,0,1888,1888,1
112,FH Sugg (ENG),2,55,31,27.5,0,0,0,0,0,0,0,1888,1888,1
113,H Wood (ENG),4,204,134,68,1,0,0,0,2,1,0,1888,1892,5
114,MP Bowden (ENG),2,25,25,12.5,0,0,0,0,1,0,0,1889,1889,1
115,Hon.CJ Coventry (ENG),2,13,12,13,0,0,0,0,0,0,0,1889,1889,1
116,OR Dunell (SA),2,42,26,14,0,0,0,0,1,0,0,1889,1889,1
117,CE Finlason (SA),1,6,6,3,0,0,0,0,0,0,0,1889,1889,1
118,AJ Fothergill (ENG),2,33,32,16.5,0,8,11.25,0,0,0,5.25,1889,1889,1
119,BAF Grieve (ENG),2,40,14,40,0,0,0,0,0,0,0,1889,1889,1
120,F Hearne (ENG/SA),6,168,30,16.8,0,2,20,0,3,0,-3.19,1889,1896,8
121,P Hutchinson (SA),2,14,11,3.5,0,0,0,0,3,0,0,1889,1889,1
122,GA Kempis (SA),1,0,0,0,0,4,19,0,0,0,-18.99,1889,1889,1
123,WH Milton (SA),3,68,21,11.33,0,2,24,0,2,0,-12.66,1889,1892,4
124,AE Ochse (SA),2,16,8,4,0,0,0,0,0,0,0,1889,1889,1
125,A Rose-Innes (SA),2,14,13,3.5,0,5,17.8,1,2,0,-14.29,1889,1889,1
126,CA Smith (ENG),1,3,3,3,0,7,8.71,1,0,0,-5.71,1889,1889,1
127,FW Smith (SA),3,45,12,9,0,0,0,0,2,0,0,1889,1896,8
128,RB Stewart (SA),1,13,9,6.5,0,0,0,0,2,0,0,1889,1889,1
129,AB Tancred (SA),2,87,29,29,0,0,0,0,2,0,0,1889,1889,1
130,CH Vintcent (SA),3,26,9,4.33,0,4,48.25,0,1,0,-43.91,1889,1892,4
131,WH Ashley (SA),1,1,1,0.5,0,7,13.57,1,0,0,-13.07,1889,1889,1
132,JEP McMaster (ENG),1,0,0,0,0,0,0,0,0,0,0,1889,1889,1
133,WHM Richards (SA),1,4,4,2,0,0,0,0,0,0,0,1889,1889,1
134,NHCD Theunissen (SA),1,2,2,2,0,0,0,0,0,0,0,1889,1889,1
135,JE Barrett (AUS),2,80,67,26.66,0,0,0,0,1,0,0,1890,1890,1
136,EJK Burn (AUS),2,41,19,10.25,0,0,0,0,0,0,0,1890,1890,1
137,PC Charlton (AUS),2,29,11,7.25,0,3,8,0,0,0,-0.74,1890,1890,1
138,SE Gregory (AUS),58,2282,201,24.53,4,0,0,0,25,0,0,1890,1912,23
139,G MacGregor (ENG),8,96,31,12,0,0,0,0,14,3,0,1890,1893,4
140,H Trumble (AUS),32,851,70,19.79,0,141,21.78,9,45,0,-1.99,1890,1904,15
141,J Cranston (ENG),1,31,16,15.5,0,0,0,0,1,0,0,1890,1890,1
142,F Martin (ENG),2,14,13,7,0,14,10.07,2,2,0,-3.07,1890,1892,3
143,JW Sharpe (ENG),3,44,26,22,0,11,27.72,1,2,0,-5.72,1890,1892,3
144,G Bean (ENG),3,92,50,18.4,0,0,0,0,4,0,0,1892,1892,1
145,ST Callaway (AUS),3,87,41,17.4,0,6,23.66,1,0,0,-6.26,1892,1895,4
146,H Donnan (AUS),5,75,15,8.33,0,0,0,0,2,0,0,1892,1896,5
147,RW McLeod (AUS),6,146,31,13.27,0,12,31.83,1,3,0,-18.56,1892,1893,2
148,VA Barton (ENG),1,23,23,23,0,0,0,0,0,0,0,1892,1892,1
149,W Chatterton (ENG),1,48,48,48,0,0,0,0,0,0,0,1892,1892,1
150,G Cripps (SA),1,21,18,10.5,0,0,0,0,0,0,0,1892,1892,1
151,JF du Toit (SA),1,2,2,0,0,1,47,0,1,0,0,1892,1892,1
152,CG Fichardt (SA),2,15,10,3.75,0,0,0,0,2,0,0,1892,1896,5
153,EA Halliwell (SA),8,188,57,12.53,0,0,0,0,10,2,0,1892,1902,11
154,A Hearne (ENG),1,9,9,9,0,0,0,0,1,0,0,1892,1892,1
155,GG Hearne (ENG),1,0,0,0,0,0,0,0,0,0,0,1892,1892,1
156,JT Hearne (ENG),12,126,40,9,0,49,22.08,4,4,0,-13.08,1892,1899,8
157,CH Mills (SA),1,25,21,12.5,0,2,41.5,0,1,0,-28.99,1892,1892,1
158,DC Parkin (SA),1,6,6,3,0,3,27.33,0,1,0,-24.33,1892,1892,1
159,AD Pougher (ENG),1,17,17,17,0,3,8.66,0,2,0,8.33,1892,1892,1
160,TW Routledge (SA),4,72,24,9,0,0,0,0,2,0,0,1892,1896,5
161,CS Wimble (SA),1,0,0,0,0,0,0,0,0,0,0,1892,1892,1
162,H Philipson (ENG),5,63,30,9,0,0,0,0,8,3,0,1892,1895,4
163,H Graham (AUS),6,301,107,30.1,2,0,0,0,3,0,0,1893,1896,4
164,Hon.FS Jackson (ENG),20,1415,144,48.79,5,24,33.29,1,10,0,15.5,1893,1905,13
165,WH Lockwood (ENG),12,231,52,17.76,0,43,20.53,5,4,0,-2.76,1893,1902,10
166,AW Mold (ENG),3,0,0,0,0,7,33.42,0,1,0,-33.42,1893,1893,1
167,E Wainwright (ENG),5,132,49,14.66,0,0,0,0,2,0,0,1893,1898,6
168,W Brockwell (ENG),7,202,49,16.83,0,5,61.8,0,6,0,-44.96,1893,1899,7
169,T Richardson (ENG),14,177,25,11.06,0,88,25.22,11,5,0,-14.16,1893,1898,6
170,JT Brown (ENG),8,470,140,36.15,1,0,0,0,7,0,0,1894,1899,6
171,J Darling (AUS),34,1657,178,28.56,3,0,0,0,27,0,0,1894,1905,12
172,FGJ Ford (ENG),5,168,48,18.66,0,1,129,0,5,0,-110.33,1894,1895,2
173,LH Gay (ENG),1,37,33,18.5,0,0,0,0,3,1,0,1894,1894,1
174,FA Iredale (AUS),14,807,140,36.68,2,0,0,0,16,0,0,1894,1899,6
175,E Jones (AUS),19,126,20,5.04,0,64,29.01,3,21,0,-23.97,1894,1902,9
176,AC MacLaren (ENG),35,1931,140,33.87,5,0,0,0,29,0,0,1894,1909,16
177,CE McLeod (AUS),17,573,112,23.87,1,33,40.15,2,9,0,-16.27,1894,1905,12
178,JC Reedman (AUS),1,21,17,10.5,0,1,24,0,1,0,-13.49,1894,1894,1
179,A Coningham (AUS),1,13,10,6.5,0,2,38,0,0,0,-31.49,1894,1895,2
180,J Harry (AUS),1,8,6,4,0,0,0,0,1,0,0,1895,1895,1
181,AE Trott (AUS/ENG),5,228,85,38,0,26,15,2,4,0,23,1895,1899,5
182,TR McKibbin (AUS),5,88,28,14.66,0,17,29.17,0,4,0,-14.5,1895,1898,4
183,HR Bromley-Davenport (ENG),4,128,84,21.33,0,4,24.5,0,1,0,-3.16,1896,1899,4
184,HR Butt (ENG),3,22,13,7.33,0,0,0,0,1,1,0,1896,1896,1
185,FJ Cook (SA),1,7,7,3.5,0,0,0,0,0,0,0,1896,1896,1
186,CB Fry (ENG),26,1223,144,32.18,2,0,0,0,17,0,0,1896,1912,17
187,RA Gleeson (SA),1,4,3,4,0,0,0,0,2,0,0,1896,1896,1
188,Lord Hawke (ENG),5,55,30,7.85,0,0,0,0,3,0,0,1896,1899,4
